"","A_09_195_S6_R1_001","A_10_313_S9_R1_001","A_11_062_S8_R1_001","A_12_011_S10_R1_001","A_13_027_S12_R1_001","A_13_086_S11_R1_001","A_14_022_S5_R1_001","A_14_076_S7_R1_001"
"tRF-16-D6MSRMB",0,1,0,0,1,0,0,0
"tRF-16-D7M461D",0,0,0,0,0,1,0,2
"tRF-16-D7M461E",1,0,0,1,5,3,0,1
"tRF-16-D7M4O1E",7,7,3,3,10,24,1,5
"tRF-16-D7OKW4B",1,1,0,0,0,0,0,0
"tRF-16-D81H93E",6,9,8,3,2,10,5,18
"tRF-16-D8E0LVE",0,0,0,0,0,0,1,0
"tRF-16-D9BKYS0",0,1,0,1,2,0,1,0
"tRF-16-DEXK7SB",1,3,0,0,1,1,0,0
"tRF-16-DEXP7SB",1,0,0,0,0,0,0,0
"tRF-16-DF7UK80",0,0,6,0,5,9,4,5
"tRF-16-DJSYIR0",2,0,0,0,1,0,0,0
"tRF-16-DJXW7SB",0,1,0,0,0,0,0,1
"tRF-16-DMEMR3D",0,0,0,0,0,1,0,0
"tRF-16-DMW36DD",0,0,0,1,0,0,0,0
"tRF-16-DPUSYDE",1,1,0,0,0,0,1,1
"tRF-16-DR2SN1B",0,0,0,0,0,2,0,0
"tRF-16-DR3J09D",1,1,0,1,0,0,0,1
"tRF-16-DRFU8U0",1,2,1,4,1,8,1,5
"tRF-16-DRJH71E",0,3,2,1,0,1,0,0
"tRF-16-DRJL51E",0,0,0,0,0,0,0,1
"tRF-16-DRJRWM0",0,0,0,0,4,0,0,2
"tRF-16-DRR4KRE",3,0,0,0,1,0,0,2
"tRF-16-DRX90J0",0,0,0,0,1,0,0,0
"tRF-16-DRXSE50",0,0,2,0,2,1,0,0
"tRF-16-DSJOBZB",0,0,0,1,0,0,0,0
"tRF-16-DWY2MJE",6,1,5,14,6,1,20,7
"tRF-16-E0PRRND",10,9,5,6,3,3,13,4
"tRF-16-E0SRRND",0,4,0,0,1,0,2,3
